DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO POBLADO;CATEGORIA;CODIGO DE UBIGEO Y CENTRO POBLADO;LONGITUD;LATITUD;ALTITUD;POBLACION;VIVIENDA;AGUA POR RED PUBLICA;ENERGIA ELECTRICA EN LA VIVIENDA;DESAGUE POR RED PUBLICA;VIA DE MAYOR USO;TRANSPORTE DE MAYOR USO;FRECUENCIA;TIEMPO EN MINUTOS HACIA LA CAPITAL DEL DISTRITO;DISTANCIA DEL CENTRO POBLADO HACIA LA CAPITAL DEL DISTRITO(KM);DISTANCIA DEL CENTRO POBLADO HACIA EL CENTRO POBLADO EDUCATIVO;DISTANCIA DEL CENTRO POBLADO HACIA EL CENTRO DE SALUD MAS CERCA;ALUMBRADO PUBLICO;TELEFONO PUBLICO;LOCAL COMUNAL;HOSTAL / ALBERGUE;ESTACION DE RADIO;INSTITUCION EDUCATIVA PRIMARIA;INSTITUCION EDUCATIVA SECUNDARIA;ESTABLECIMIENTO/ PUESTO DE SALUD;PUESTO POLICIAL;OFICINA DE CORREO;CABINA DE INTERNET;HELADAS /NEVADAS;GRANIZADAS;LLUVIAS;SEQUIAS;VENDAVALES (VIENTOS FUERTES);INUNDACIONES;DERRUMBES/DESLIZAMIENTOS;HUAYCOS / ALUDES/ALUVIONES;DESERTIFICACIONES;SALINIZACION DE LOS SUELOS;ACTIVIDAD VOLCANICA;SISMOS;TSUNAMI U OLEADAS ANOMALOS;OTROS FENOMENOS NAT.;DERRAME DE SUSTANCIAS O DESECHOS TOXICOS;FUGAS DE GASES TOXICOS;EXPLOSIONES;INCENDIOS Y QUEMAS;CRIANZA DE ANIMALES EN ZONAS URBANAS;INCREMENTO DE ZONAS INDUS. NO AUTORIZADAS;ZONAS AEREOPORTUARIAS;RELLENOS SANITARIOS;SUBVERSIONES Y/O CONFLICTOS SOCIALES;OTROS PELIGROS;UN LECHO DE RIO O QUEBRADA;UN CUARTEL MILITAR O POLICIAL;UNA VIA FERREA;LA EROSION DE RIOS EN LADERAS DE CERROS;BARRANCOS O PRECIPICIOS;OTROS;PISTAS Y VEREDAS EN LA MAYORI DE SUS CALLES Y/O MANZANAS;CANALES DE DRENAJE EN LAS CALLES PARA LA EVACUACION DE LAS AGUA;IDIOMA O LENGUA QUE SE HABLA CON MAYOR FRECUENCIA;UBIGEO;Departamento_1;Provincia_1;Distrito_1;Total_M;Total_F;Total_eess_n;Total_eess_c;Total_eess_r;ambito_descripcion;UBIGEO_1;DOMINIO;ESTRATO;MIEPERHO;INGHOG1D;GASHOG2D;NIVELSOCIAL;POBREZA;Departamento_2;Provincia_2;Distrito_2;anio;etapa;Enf_infecc;Obesidad_Hiperalim;Inf_resperatorias;Enf_Bucales;Enf_Esofago_Estomago;Dorsopatias;Enf_Urinarias;Transtornos_maternos;Enf_digestivas;Sintoma_gen;TOTAL_SINIESTROS
AMAZONAS;LUYA;LUYA VIEJO;LUYA VIEJO;;105100001;-78.02809293;-6.14235328;2924.3;493;90;si;no;;;;;0;;0.07;7.99;si;si;si;si;no;si;si;si;si;si;si;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;castellano;10510;AMAZONAS;LUYA;LUYA VIEJO;86;82;10;3266;248;Minsa;10510;4;6;4;30879.17114;20010.62476;C;1;AMAZONAS;LUYA;LUYA VIEJO;2023;4;4;1;7;4;2;2;2;0;4;3;18
AMAZONAS;LUYA;OCUMAL;COLLONCE;;105130001;-78.21087025;-6.282450913;1898;750;;no;si;si;;;;0;;0.35;6.4;si;si;si;si;si;si;si;si;si;si;si;no;si;si;si;si;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;si;castellano;10513;AMAZONAS;LUYA;OCUMAL;96;96;761;29725;1441;Minsa;10513;4;7;4;22852.66755;20084.00684;C;1;AMAZONAS;LUYA;OCUMAL;2023;2;4;0;8;11;4;2;2;2;4;4;1
ANCASH;ASUNCION;ACOCHACA;ACOCHACA;;204020001;-77.36835416;-9.114810437;2864.4;300;60;si;si;si;;;;0;;0.23;;si;si;si;si;no;si;si;si;si;si;si;si;si;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;castellano;20402;ANCASH;ASUNCION;ACOCHACA;91;96;90;32983;1690;Minsa;20402;5;8;3;45841.04138;26947.10785;C;3;ANCASH;ASUNCION;ACOCHACA;2023;3;2;2;4;8;3;2;2;0;4;7;1
ANCASH;CASMA;CASMA;CASMA;;208010001;-78.30639484;-9.475841739;58.803;22744;5686;si;si;si;;;;0;;0.3;0.58;si;no;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;;no;si;si;no;si;si;no;no;no;quechua;20801;ANCASH;CASMA;CASMA;168;177;6933;108414;12385;EsSalud;20801;2;7;3;40381.64118;33141.83502;C;3;ANCASH;CASMA;CASMA;2023;5;9;2;12;17;10;17;6;1;9;12;1
ANCASH;CASMA;YAUTAN;YAUTAN;;208040001;-77.99649243;-9.511349744;830.7;7536;650;si;si;si;;;;0;;0.17;0.1;si;si;no;si;si;si;si;si;no;no;si;no;no;si;no;no;si;si;si;no;si;no;si;no;no;no;no;no;no;si;;no;no;no;no;no;no;no;no;no;si;si;no;castellano;20804;ANCASH;CASMA;YAUTAN;96;96;1111;33111;7604;Minsa;20804;2;8;4;20878.26422;21106.58517;C;3;ANCASH;CASMA;YAUTAN;2023;2;4;2;9;15;4;5;3;3;6;5;2
ANCASH;HUAYLAS;MATO;SUCRE;;212050001;-77.84258237;-8.961433461;2209.4;2109;178;si;si;si;;;;0;;0.19;0.73;si;si;si;si;si;si;si;si;si;no;si;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;si;no;no;no;no;no;si;si;no;no;si;no;si;no;castellano;21205;ANCASH;HUAYLAS;MATO;96;93;327;21258;1403;Minsa;21205;5;7;4;18489.02069;16962.55408;C;3;ANCASH;HUAYLAS;MATO;2023;1;10;2;8;15;1;0;2;0;6;6;3
ANCASH;HUAYLAS;SANTO TORIBIO;SANTO TORIBIO;pueblo;212090001;-77.91474911;-8.864357941;2926.1;600;120;si;si;si;;;;0;;0.1;0.08;si;no;si;no;si;si;no;si;no;no;no;si;no;si;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;si;no;no;no;no;no sabe;no;no;castellano;21209;ANCASH;HUAYLAS;SANTO TORIBIO;93;93;133;10636;962;Minsa;21209;5;7;2;14283.07196;20078.29291;C;3;ANCASH;HUAYLAS;SANTO TORIBIO;2023;4;5;2;8;8;2;2;2;2;3;6;1
ANCASH;OCROS;CONGAS;CONGAS;;214060001;-77.4426802;-10.33755429;3112;380;130;si;si;si;;;;0;;0.34;0.34;si;no;si;si;no;si;no;no;no;no;no;si;si;si;si;si;si;si;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;si;no;no;no;no;no;si;;castellano;21406;ANCASH;OCROS;CONGAS;87;91;91;4695;291;Minsa;21406;5;7;3;20471.68842;17175.32019;C;3;ANCASH;OCROS;CONGAS;2023;2;2;2;4;6;3;1;0;0;2;4;2
ANCASH;RECUAY;RECUAY;RECUAY;;217010001;-77.45644685;-9.721733499;3428.2;5115;1378;si;si;si;;;;0;;0.15;0.83;si;no;no;no;no;si;no;no;no;no;no;si;no;no;si;no;no;no;no;no;no;no;;no;no;no;no;no;no;si;no;no;no;no;no;si;no;no;no;no;no;si;no;castellano;21701;ANCASH;RECUAY;RECUAY;96;96;2141;32940;2643;Minsa;21701;5;5;2;41515.52852;21597.93672;C;3;ANCASH;RECUAY;RECUAY;2023;5;6;2;10;13;8;11;4;0;4;11;2
APURIMAC;ABANCAY;ABANCAY;ABANCAY;;301010001;;-9.020687485;3389.4;1000;200;si;si;si;;;;0;;0.16;9.53;si;si;si;si;si;si;si;si;si;no;no;no;no;si;no;no;no;si;si;no;no;no;no;no;no;no;no;no;si;si;no;no;no;no;no;si;si;no;si;si;no;no;no;quechua;30101;APURIMAC;ABANCAY;ABANCAY;207;204;29074;357099;47235;EsSalud;30101;6;3;3;53675.42874;35115.59576;B;3;APURIMAC;ABANCAY;ABANCAY;2023;4;13;2;12;30;19;22;13;6;15;22;1
